,Plot_Number,Rice_Cultivar,Experiment_Name,Nitrogen_Rate,Replicate,Yield,Heading_100,Date,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,Emergence_DOY,Heading_100_DOY,Days_to_100%_Heading
89,35165,RoyJ,Santee_Gold,75,3,12.45494892,83,06-14-2021,0.31443053,1.687352,-5.94412,7.8968315,5.47745,0.42644477,-6.351086,0.57449615,0.4166796,3.250511,-0.5852185,0.32164535,6.0898733,140,223,-58
90,35166,Charleston Gold,Santee_Gold,75,3,11.95308015,82,06-14-2021,0.37168047,1.5892488,-5.4446588,7.4022183,5.2527328,0.4293313,-5.941184,0.47256997,0.3868804,3.186796,-0.5337312,0.34005117,5.7556515,140,222,-57
91,35167,Santee Gold,Santee_Gold,75,3,11.02964162,90,06-14-2021,0.36276838,1.5917695,-5.4872236,7.4477344,5.2769623,0.43304846,-5.973669,0.4781773,0.37832195,3.1947253,-0.53636307,0.33752823,5.7817187,140,230,-65
92,35168,RoyJ,Santee_Gold,75,3,13.96629087,82,06-14-2021,0.34965837,1.6529353,-5.643395,7.6496315,5.415694,0.41786778,-6.08804,0.5069144,0.39449018,3.2437754,-0.49661812,0.3328522,5.9034233,140,222,-57
93,35169,Charleston Gold,Santee_Gold,75,3,11.4139297,82,06-14-2021,0.35355237,1.6191463,-5.6658645,7.622702,5.351784,0.42253235,-6.129341,0.51141423,0.4065409,3.2103322,-0.57851696,0.3284399,5.9063797,140,222,-57
94,35170,Santee Gold,Santee_Gold,75,3,11.20744655,90,06-14-2021,0.32791963,1.6783286,-5.8815336,7.8359528,5.467108,0.42942852,-6.298324,0.55996335,0.4188027,3.2436125,-0.5837659,0.33509535,6.059136,140,230,-65
95,35171,Carolina Gold,Santee_Gold,75,3,6.670552886,88,06-14-2021,0.3802403,1.5554906,-5.3361373,7.288254,5.183755,0.4201686,-5.839193,0.45330608,0.37951547,3.150401,-0.5301489,0.3486541,5.6664534,140,228,-63
96,35172,Carolina Gold,Santee_Gold,150,1,4.574175345,89,06-14-2021,0.39093614,1.5911875,-5.4564834,7.4068737,5.2497287,0.41921037,-5.952011,0.46583286,0.40071672,3.1824195,-0.55361784,0.35288665,5.7600036,140,229,-64
97,35173,Charleston Gold,Santee_Gold,150,1,9.524035311,87,06-14-2021,0.30741963,2.0419886,-7.067887,9.150189,6.250115,0.38433278,-7.097992,0.67025566,0.59747607,3.4470804,-0.5266516,0.3532005,6.8032374,140,227,-62
98,35174,RoyJ,Santee_Gold,150,1,16.79683072,90,06-14-2021,0.16107132,1.9134586,-7.23619,9.119625,5.9849625,0.473184,-7.436157,0.8202681,0.4543491,3.4078212,-0.76427865,0.3100452,6.952348,140,230,-65
99,35175,Carolina Gold,Santee_Gold,150,1,6.415316769,89,06-14-2021,0.39073005,1.6626416,-5.6577024,7.670964,5.4464164,0.40434057,-6.087153,0.4800304,0.44022432,3.2398171,-0.5316931,0.343455,5.90688,140,229,-64
100,35176,Santee Gold,Santee_Gold,150,1,10.44460602,92,06-14-2021,0.34293398,2.001841,-6.8202333,8.915217,6.178419,0.41049856,-6.915185,0.61042446,0.5999016,3.4197247,-0.5340169,0.36564612,6.662254,140,232,-67
101,35177,Charleston Gold,Santee_Gold,150,1,9.231517515,86,06-14-2021,0.37576243,2.0594983,-6.9426503,9.077334,6.2992716,0.38215083,-6.946813,0.5843978,0.6464042,3.4436672,-0.4953058,0.36626282,6.7115064,140,226,-61
102,35178,RoyJ,Santee_Gold,150,1,17.85218904,89,06-14-2021,0.20202488,1.826863,-6.7675014,8.642622,5.786883,0.47327405,-7.036755,0.74394536,0.43234766,3.3316007,-0.70196605,0.31567898,6.633398,140,229,-64
